Sector,Count Type,Year,State,Value
RESIDENTIAL,Revenues,2021,AK,469886
RESIDENTIAL,Revenues,2021,AL,4092368
RESIDENTIAL,Revenues,2021,AR,2131723
RESIDENTIAL,Revenues,2021,AZ,4655903
RESIDENTIAL,Revenues,2021,CA,20604392
RESIDENTIAL,Revenues,2021,CO,2696118
RESIDENTIAL,Revenues,2021,CT,2868410
RESIDENTIAL,Revenues,2021,DC,330851
RESIDENTIAL,Revenues,2021,DE,647126
RESIDENTIAL,Revenues,2021,FL,15518174
RESIDENTIAL,Revenues,2021,GA,7339634
RESIDENTIAL,Revenues,2021,HI,946210
RESIDENTIAL,Revenues,2021,IA,1864645
RESIDENTIAL,Revenues,2021,ID,944639
RESIDENTIAL,Revenues,2021,IL,6167780
RESIDENTIAL,Revenues,2021,IN,4476492
RESIDENTIAL,Revenues,2021,KS,1787507
RESIDENTIAL,Revenues,2021,KY,3040792
RESIDENTIAL,Revenues,2021,LA,3351648
RESIDENTIAL,Revenues,2021,MA,4647885
RESIDENTIAL,Revenues,2021,MD,3669204
RESIDENTIAL,Revenues,2021,ME,861576
RESIDENTIAL,Revenues,2021,MI,6289783
RESIDENTIAL,Revenues,2021,MN,3138279
RESIDENTIAL,Revenues,2021,MO,4071545
RESIDENTIAL,Revenues,2021,MS,2145795
RESIDENTIAL,Revenues,2021,MT,623923
RESIDENTIAL,Revenues,2021,NC,6897040
RESIDENTIAL,Revenues,2021,ND,530311
RESIDENTIAL,Revenues,2021,NE,1127997
RESIDENTIAL,Revenues,2021,NH,959250
RESIDENTIAL,Revenues,2021,NJ,4921080
RESIDENTIAL,Revenues,2021,NM,958086
RESIDENTIAL,Revenues,2021,NV,1651794
RESIDENTIAL,Revenues,2021,NY,10161755
RESIDENTIAL,Revenues,2021,OH,6789217
RESIDENTIAL,Revenues,2021,OK,2612424
RESIDENTIAL,Revenues,2021,OR,2307363
RESIDENTIAL,Revenues,2021,PA,7697613
RESIDENTIAL,Revenues,2021,RI,698380
RESIDENTIAL,Revenues,2021,SC,4037454
RESIDENTIAL,Revenues,2021,SD,616517
RESIDENTIAL,Revenues,2021,TN,4741606
RESIDENTIAL,Revenues,2021,TX,18772300
RESIDENTIAL,Revenues,2021,UT,1142206
RESIDENTIAL,Revenues,2021,VA,5579585
RESIDENTIAL,Revenues,2021,VT,418734
RESIDENTIAL,Revenues,2021,WA,3843746
RESIDENTIAL,Revenues,2021,WI,3320221
RESIDENTIAL,Revenues,2021,WV,1343207
RESIDENTIAL,Revenues,2021,WY,323702
RESIDENTIAL,Revenues,2021,US,200833874
RESIDENTIAL,Revenues,2020,AK,471526
RESIDENTIAL,Revenues,2020,AL,3939867
RESIDENTIAL,Revenues,2020,AR,1871422
RESIDENTIAL,Revenues,2020,AZ,4751047
RESIDENTIAL,Revenues,2020,CA,19413314
RESIDENTIAL,Revenues,2020,CO,2531337
RESIDENTIAL,Revenues,2020,CT,2948780
RESIDENTIAL,Revenues,2020,DC,309841
RESIDENTIAL,Revenues,2020,DE,627031
RESIDENTIAL,Revenues,2020,FL,15021436
RESIDENTIAL,Revenues,2020,GA,6995859
RESIDENTIAL,Revenues,2020,HI,862771
RESIDENTIAL,Revenues,2020,IA,1815028
RESIDENTIAL,Revenues,2020,ID,892473
RESIDENTIAL,Revenues,2020,IL,6021966
RESIDENTIAL,Revenues,2020,IN,4217038
RESIDENTIAL,Revenues,2020,KS,1747076
RESIDENTIAL,Revenues,2020,KY,2818425
RESIDENTIAL,Revenues,2020,LA,2942989
RESIDENTIAL,Revenues,2020,MA,4468961
RESIDENTIAL,Revenues,2020,MD,3551281
RESIDENTIAL,Revenues,2020,ME,824665
RESIDENTIAL,Revenues,2020,MI,5831461
RESIDENTIAL,Revenues,2020,MN,3020236
RESIDENTIAL,Revenues,2020,MO,3922562
RESIDENTIAL,Revenues,2020,MS,2010535
RESIDENTIAL,Revenues,2020,MT,604844
RESIDENTIAL,Revenues,2020,NC,6672919
RESIDENTIAL,Revenues,2020,ND,526673
RESIDENTIAL,Revenues,2020,NE,1135271
RESIDENTIAL,Revenues,2020,NH,911967
RESIDENTIAL,Revenues,2020,NJ,4756754
RESIDENTIAL,Revenues,2020,NM,942023
RESIDENTIAL,Revenues,2020,NV,1624395
RESIDENTIAL,Revenues,2020,NY,9596805
RESIDENTIAL,Revenues,2020,OH,6457167
RESIDENTIAL,Revenues,2020,OK,2350122
RESIDENTIAL,Revenues,2020,OR,2191867
RESIDENTIAL,Revenues,2020,PA,7511991
RESIDENTIAL,Revenues,2020,RI,692840
RESIDENTIAL,Revenues,2020,SC,3940889
RESIDENTIAL,Revenues,2020,SD,595509
RESIDENTIAL,Revenues,2020,TN,4420255
RESIDENTIAL,Revenues,2020,TX,18322011
RESIDENTIAL,Revenues,2020,UT,1100682
RESIDENTIAL,Revenues,2020,VA,5542948
RESIDENTIAL,Revenues,2020,VT,421376
RESIDENTIAL,Revenues,2020,WA,3639303
RESIDENTIAL,Revenues,2020,WI,3271758
RESIDENTIAL,Revenues,2020,WV,1283976
RESIDENTIAL,Revenues,2020,WY,319940
RESIDENTIAL,Revenues,2020,US,192663208
RESIDENTIAL,Revenues,2019,AK,441887
RESIDENTIAL,Revenues,2019,AL,4061182
RESIDENTIAL,Revenues,2019,AR,1834859
RESIDENTIAL,Revenues,2019,AZ,4317059
RESIDENTIAL,Revenues,2019,CA,16763780
RESIDENTIAL,Revenues,2019,CO,2362565
RESIDENTIAL,Revenues,2019,CT,2732697
RESIDENTIAL,Revenues,2019,DC,330687
RESIDENTIAL,Revenues,2019,DE,627984
